codigo_estacion,nombre_estacion,municipio,departamento,latitud,longitud
23125160,SAN PABLO DE BORBUR  - AUT,San Pablo De Borbur,BOYACÁ,5.647027778,-74.07130556
24035410,SOGAMOSO - AUT,Sogamoso,BOYACÁ,5.753333333,-72.91115278
23125501,PAUNA  - AUT,Pauna,BOYACÁ,5.657130556,-73.96032778
35085070,SANTA MARIA - AUT,Santa María,BOYACÁ,4.84125,-73.25669444
24035360,SOCHA - AUT,Socha,BOYACÁ,5.985416667,-72.99702778
35071001,TEATINOS - ESTACION EN PRUEBA,Boyacá,BOYACÁ,5.439,-73.351
24015501,BERTHA  - AUT,Moniquirá,BOYACÁ,5.882777778,-73.57333056
24035370,EL ESPINO - AUT,El Espino,BOYACÁ,6.506722222,-72.45266667
35160010,PR TOTA: POTRERITO,Aquitania,BOYACÁ,5.478,-72.949
24035250,CHITA  - AUT,Chita,BOYACÁ,6.188333333,-72.46633333
35095120,AQUITANIA - AUT,Aquitania,BOYACÁ,5.556638889,-72.88175
35075070,CHINAVITA - AUT,Chinavita,BOYACÁ,5.21925,-73.35038889
2401500080,PANELAS - AUT,Motavita,BOYACÁ,5.634380556,-73.386469444
35167010,PROYECTO TOTA: HATO LAGUNA,Aquitania,BOYACÁ,5.584,-72.9
3507500133,TEATINOS - AUT,Boyacá,BOYACÁ,5.422822222,-73.375777778
35195060,PERENCO: TOQUILLA,Aquitania,BOYACÁ,5.524,-72.791
35215030,PERENCO: PISBA,Pisva,BOYACÁ,5.721,-72.488
35077180,CULIMA - CHIVOR RIO BATA,Santa María,BOYACÁ,4.763,-73.293
2403500082,SIACHOQUE - AUT,Siachoque,BOYACÁ,5.506097222,-73.251052778
35085060,ZETAQUIRA - AUT,Zetaquirá,BOYACÁ,5.294944444,-73.16994444
24017705,LA BALSA CHIQUINQUIRA - CAR,Chiquinquirá,BOYACÁ,5.624,-73.792
35167020,PR TOTA: LAGO DE TOTA,Aquitania,BOYACÁ,5.557,-72.88
23125140,AEROPUERTO FURATENA  - AUT,Quípama,BOYACÁ,5.520833333,-74.18241667
3508700103,PUENTE CAMPANA - AUT,Santa María,BOYACÁ,4.844166667,-73.223030556
3507500046,GRANJA GUAYATA - AUT,Guayatá,BOYACÁ,4.976083333,-73.484027778
24015509,ARCABUCO - ISAGEN - Estacion en Pruebas,Arcabuco,BOYACÁ,5.762,-73.445
35075080,PARAMO RABANAL - AUT,Ventaquemada,BOYACÁ,5.392388889,-73.56277778
35077320,CARACOL - CHIVOR,Garagoa,BOYACÁ,5.11,-73.393
24035430,TUNGUAVITA - AUT,Paipa,BOYACÁ,5.745916667,-73.11636111
35217090,PERENCO: LABRANZA GRANDE,Labranzagrande,BOYACÁ,5.567,-72.584
2401500086,TUNJA-U.P.T.C - AUT,Samacá,BOYACÁ,5.4417,-73.5522
2403500081,SOTAQUIRÁ - AUT,Sotaquirá,BOYACÁ,5.749661111,-73.234922222
35165000,EL TUNEL,Cuítiva,BOYACÁ,5.575,-72.941
35160020,PR TOTA: LLANO ALARCON,Cuítiva,BOYACÁ,5.6,-72.913
24017740,PUENTE CHACON  - AUT,Villa De Leiva,BOYACÁ,5.677888889,-73.54213889
35085080,LA CAPILLA - AUT,La Capilla,BOYACÁ,5.099194444,-73.436
35160000,PR TOTA: LAS CINTAS,Sogamoso,BOYACÁ,5.614,-72.867
24015504,RAQUIRA - CAR,Ráquira,BOYACÁ,5.536,-73.641
2403500041,DUITAMA - AUT,Paipa,BOYACÁ,5.78755,-73.081783333
35197020,VADO HONDO  - AUT,Aquitania,BOYACÁ,5.506805556,-72.75480556
24037080,LA GRUTA  - AUT,Pesca,BOYACÁ,5.566972222,-73.04672222
35077150,PUNTEADERO - CHIVOR,Chinavita,BOYACÁ,5.191,-73.386
2403500084,MONGUA - AUT,Mongua,BOYACÁ,5.758019444,-72.79485
24017600,MONIQUIRA  - AUT,Moniquirá,BOYACÁ,5.878138889,-73.57025
24017706,PTE MERCHAN - CAR,Saboyá,BOYACÁ,5.696,-73.754
